gaia_a,gaia_b,instrument,r_proj_AU,mass_total_Msun,v_sky_kms,vtilde,bound
6295940298044771072,6295940302339553664,VLT,497.1,2.46,0.3042,0.1452,1
6317420224061370624,6317420219765757440,Mage,345.8,2.088,0.4405,0.1904,1
6369977876303556736,6369977773223661184,Mage,1667.4,2.524,0.2247,0.1939,1
4461273072564386816,4461273278722817792,Mage,825.2,1.746,0.294,0.2146,1
6214634887804233088,6214634887804201728,Mage,446.0,1.91,0.4453,0.2285,1
5863709946382541952,5863709946382545280,VLT,2108.2,2.106,0.2393,0.2542,1
5255388783050605824,5255388783050603136,VLT,331.0,1.683,0.5508,0.2594,1
3749791158495959552,3749791055416743552,VLT,4177.5,1.818,0.2002,0.3224,1
6673835611220171904,6673835645579910016,Mage,6222.5,2.164,0.1855,0.3339,1
2919963104216198528,2919963104221492480,VLT,103.2,1.635,1.275,0.3402,1
1167718049194619264,1167718049194619136,Mage,129.3,1.866,1.3426,0.3753,1
6004256802548180736,6004256909931771136,Mage,729.2,1.696,0.5425,0.3777,1
4193020582169053056,4193020582174571264,Mage,203.9,2.186,1.2086,0.392,1
6497943781187251072,6497943781186827264,Mage,1535.3,1.984,0.4368,0.4081,1
3717329177197429376,3717329172901660160,VLT,571.1,2.151,0.7464,0.4084,1
6673292933512285312,6673293174030454400,Mage,3006.6,1.749,0.2967,0.4131,1
3230677874682668672,3230677565443833088,Mage,4977.0,2.315,0.2656,0.4135,1
4857866023347844608,4857866019051550976,VLT,899.9,2.215,0.6139,0.4155,1
4199387544795378176,4199387544795379968,Mage,1099.4,2.03,0.5341,0.4174,1
6409419145097654016,6463958151650359040,Mage,139.1,1.964,1.4795,0.4181,1
2331411778456143232,2331411774161459328,Mage,732.8,1.997,0.659,0.4239,1
3639520621950395776,3639520621950395904,Mage,246.9,2.035,1.1482,0.4247,1
6463958151650358784,6463958151650359040,Mage,139.1,1.833,1.4795,0.4328,1
6463958151650359040,6463958151650358784,Mage,139.1,1.833,1.4795,0.4328,1
4464207428579939840,4464207428577214464,Mage,99.2,1.706,1.7771,0.455,1
4648549830108994816,4648549830108995200,VLT,585.1,2.313,0.92,0.4914,1
3898778969789498880,3898778901070021504,VLT,3152.2,2.241,0.3977,0.5009,1
3616756294553180288,3616756294553180160,Mage,297.4,1.849,1.1876,0.5058,1
4360581000283303552,4360581000283303936,Mage,700.7,1.968,0.8192,0.5191,1
6471977336628547968,6471977542786978688,Mage,544.7,1.85,1.0223,0.589,1
6743004650775553280,6743004646477330560,Mage,256.2,1.688,1.4673,0.607,1
5485115588561239808,5485115519841798912,Mage,1246.3,2.055,0.7351,0.6079,1
4666907516760096512,4666907551119833984,Mage,379.3,2.158,1.4752,0.6568,1
5296896205962076416,5296896240321814144,VLT,639.4,1.675,1.0018,0.6573,1
55780840513308160,55780840513067392,Mage,750.2,2.509,1.1375,0.6605,1
4235732073427592704,4235731867269159680,Mage,5779.6,2.14,0.3826,0.6676,1
6224633983987511552,6224633983987510528,Mage,379.3,1.96,1.4752,0.6891,1
5484928568505017472,5484928534145279744,VLT,3582.4,2.404,0.5492,0.7118,1
4197023904013455872,4197023904014523776,Mage,1964.7,2.024,0.6849,0.7165,1
3830034685322011136,3830034479163581312,VLT,1023.3,2.593,1.0786,0.7196,1
4837828175549438080,4837828179846041728,VLT,1276.1,2.135,0.8787,0.7214,1
4677970179987090304,4677970179988001280,VLT,620.8,2.061,1.2452,0.7256,1
5195685713943687168,5195685713943683072,VLT,4911.4,2.169,0.459,0.7336,1
6827651373773901568,6827651171911478272,Mage,429.5,1.605,1.3521,0.7427,1
6003429424356691584,6003429213889816832,Mage,1561.0,1.894,0.8749,0.8434,1
5778208829765877376,5778208829765876864,Mage,783.0,2.061,1.3151,0.8607,1
5877155289930029184,5877155289930033024,Mage,3307.8,2.065,0.6563,0.8819,1
6868432504866186368,6868438517820721152,Mage,20586.9,2.289,0.3006,0.9575,1
6666179127640352512,6666179333798782976,Mage,1066.3,1.706,1.1785,0.9892,1
4249652990144051840,4249652783985617920,Mage,2734.9,2.127,0.8334,1.0035,1
4940794866807373952,4940794488850252928,VLT,4935.3,2.322,0.6603,1.0222,1
6518006565562564352,6518007050894577664,Mage,25156.4,2.092,0.294,1.0826,1
3208713618088140160,3208713618088139520,VLT,1210.3,2.248,1.4133,1.1011,1
5595858262287843840,5595858159201264768,VLT,4421.8,1.987,0.7908,1.2527,1
3613454637229634176,3613454637229633664,Mage,7555.4,2.152,0.6399,1.2732,1
5798991008295120896,5798991008295109120,Mage,4885.1,1.859,1.083,1.8642,1
3759082066110510080,3759082066110510208,VLT,4541.4,2.669,1.762,2.4406,1
6644929656684912512,6644929416166727680,Mage,12560.7,2.013,0.9852,2.6133,0
3359808231100381312,3359820016490648576,Mage,8189.1,2.114,1.6122,3.3691,0
2356080043380354816,2356290256259997696,Mage,140703.3,2.247,0.4094,3.4397,0
2630937059602783616,2630906926112239616,Mage,47653.9,2.012,0.6974,3.6043,0
2713872019095313536,2713861882972485504,Mage,54991.5,2.254,0.7135,3.7428,0
5897785667103983616,5897704951769034368,Mage,508168.4,1.982,0.4816,8.1877,0
4805634616824440192,4803965455094278528,VLT,1614892.5,2.117,1.1719,34.3677,0
4803965455094278528,4805634616824440192,VLT,1614892.5,2.117,1.1719,34.3677,0
6889841508084452096,6900155614347675648,Mage,1377010.7,2.145,1.4565,39.1891,0
2670687222445537152,6899460856141456384,Mage,2349333.7,2.664,2.3089,72.8133,0
2611083178139983744,2398083032532932480,Mage,4551362.8,2.186,1.5523,75.2069,0
6118406798373150848,6099322403253174016,Mage,3377717.3,1.888,1.7036,76.5152,0
2714025229168797696,2815476857825953408,Mage,1988896.2,2.089,3.2297,105.8094,0
4813691219557127808,4867855155206070784,Mage,1948401.7,1.853,3.1802,109.4932,0
6472230636619614464,6473063860275183616,Mage,327624.5,2.387,8.8429,110.011,0
5976865876277242112,2598586816173411200,Mage,12186349.8,2.109,1.3817,111.5191,0
4421376193636525184,1198060172076731520,Mage,3038338.5,1.889,3.4579,147.2518,0
2366265678581766272,2632792584258400640,Mage,4216022.5,1.873,3.6251,182.6544,0
5825293319323469824,5821555284685890304,Mage,2290479.6,2.271,8.7295,294.3739,0
2456617393759254400,5030721964337409536,Mage,5591572.0,1.959,5.5578,315.263,0
2630545461664620288,2731708498584058368,Mage,3800653.7,1.662,7.3815,374.8693,0
5778002293379364992,5807733500118617984,Mage,2247364.7,1.908,11.8175,430.6371,0
3183053112639796352,3018965776882444416,Mage,4055784.5,1.964,9.0935,438.7501,0
4287378367995943680,4499162449416966272,Mage,3122212.4,2.085,11.2211,461.1134,0
4104278208452966912,4269938532999515008,Mage,4709060.1,1.964,8.8803,461.7173,0
4383238052280567680,6236816675902817536,Mage,5512743.4,1.964,9.8571,554.5295,0
4174091454408295680,6643680401021447296,Mage,18517641.3,2.201,12.3586,1203.6839,0
6866542478736575616,5767612458250649216,Mage,16164866.9,2.398,31.2212,2721.7582,0
