instrument,obj_a,gaia_a,obj_b,gaia_b,rv_diff,rv_sigma,ra_a,ra_error_a,dec_a,dec_error_a,parallax_a,parallax_error_a,pmra_a,pmra_error_a,pmdec_a,pmdec_error_a,ra_b,ra_error_b,dec_b,dec_error_b,parallax_b,parallax_error_b,pmra_b,pmra_error_b,pmdec_b,pmdec_error_b,gaia_rv_a,gaia_rv_err_a,gaia_rv_b,gaia_rv_err_b,mass_flame_a,mass_flame_b,mass_flame_a_lower,mass_flame_a_upper,mass_flame_b_lower,mass_flame_b_upper,teff_a,teff_b,logg_a,logg_b,mh_a,mh_b,mass_total_flame,mass_flame_a_err,mass_flame_b_err,mass_total_err
VLT,DY_Binary_13_Star_A,6295940298044771072,DY_Binary_13_Star_B,6295940302339553664,0.58137,0.01955,208.5424527,0.01297579706,-15.1275727,0.01194306929,4.875825621,0.01435714774,-3.882594871,0.01820139028,-18.48226242,0.01572990976,208.5431067,0.01310852449,-15.12781424,0.0118405195,4.915724653,0.01457493287,-3.629152155,0.01849985868,-18.2965945,0.01618573628,,,,,1.2687429189682007,1.191504955291748,1.2287168502807617,1.308917760848999,1.151185154914856,1.2318295240402222,5885.06884765625,5992.09716796875,3.7404000759124756,3.870300054550171,-0.90420001745224,-0.7264000177383423,2.4602478742599487,0.04010045528411865,0.040322184562683105,0.056867610130026384
VLT,DY_Binary_17_Star_A,5484928568505017472,DY_Binary_17_Star_B,5484928534145279744,-0.07051,0.06643,103.0538752,0.012529008,-56.50895435,0.012909633,8.870364783,0.0127591705,-10.2504153,0.018191371,-57.77911468,0.016940251,103.0450478,0.009435225,-56.51633312,0.009508615,8.898932104,0.00945407,-9.891883094,0.013157952,-56.81428309,0.012405254,-0.5763818622,0.1506578475,,,1.3117393255233765,1.0927387475967407,1.2716678380966187,1.3517552614212036,1.0527353286743164,1.132746696472168,5858.27587890625,5965.63525390625,3.781100034713745,4.194499969482422,-0.28369998931884766,-0.06859999895095825,2.404478073120117,0.04004371166229248,0.04000568389892578,0.0566034768182449
VLT,DY_Binary_19_Star_B,3759082066110510080,DY_Binary_19_Star_A,3759082066110510208,-0.81973,0.025,167.8501638,0.01794434,-9.357516481,0.015447267,4.290885328,0.02156231,-17.54471248,0.028125564,-5.615489991,0.017940408,167.8461329,0.018036408,-9.353888475,0.017492149,4.24440083,0.021657852,-16.26362161,0.025230777,-6.550778542,0.018385021,0.1227004528,0.1799712777,0.9778831601,0.2780379057,1.312150239944458,1.3568028211593628,1.2720928192138672,1.3523457050323486,1.2560604810714722,1.3978416919708252,6075.873046875,6039.68701171875,3.8780999183654785,3.985100030899048,0.08919999748468399,-0.04340000078082085,2.668953061103821,0.04012644290924072,0.07089060544967651,0.08145924969928375
VLT,DY_Binary_21_Star_B,3749791158495959552,DY_Binary_21_Star_A,3749791055416743552,-3.00505,0.03699,160.4503759,0.021602277,-14.70851767,0.019757267,14.29405553,0.023159167,68.25831832,0.031490933,9.09495386,0.0274345,160.4464375,0.017064508,-14.72467433,0.018382631,14.31605424,0.018701829,68.3974845,0.024007082,8.506915202,0.022815555,1.042411923,0.1720994711,0.6416106224,0.1766699404,0.9209889769554138,0.896804690361023,0.8804489374160767,0.9675161242485046,0.8566178679466248,0.9399941563606262,5608.47265625,5503.140625,4.35890007019043,4.410200119018555,-0.03150000050663948,-0.007799999788403511,1.8177936673164368,0.04353359341621399,0.04168814420700073,0.06027499583701287
VLT,DY_Binary_23_Star_B,4805634616824440192,DY_Binary_23_Star_A,4803965455094278528,-0.52427,0.05179,82.55982133,0.007883396931,-43.7984644,0.009521366097,9.730302832,0.009374272078,-21.90235214,0.01064854767,-37.80812496,0.0126204351,87.95332069,0.009127880447,-42.01840525,0.00956894923,9.584217432,0.01016227342,-20.06898701,0.01308572106,-39.33716717,0.01378774177,,,,,1.0249302387237549,1.092418909072876,0.9846150279045105,1.0653585195541382,1.0483078956604004,1.1335870027542114,5754.1337890625,5960.63330078125,4.438499927520752,4.433899879455566,-0.18050000071525574,-0.18459999561309814,2.117349147796631,0.04037174582481384,0.04263955354690552,0.058719752959483715
VLT,DY_Binary_23_Star_A,4803965455094278528,DY_Binary_23_Star_B,4805634616824440192,0.65494,0.03719,87.95332069,0.00912788,-42.01840525,0.009568949,9.584217432,0.010162273,-20.06898701,0.013085721,-39.33716717,0.013787742,82.55982133,0.007883397,-43.7984644,0.009521366,9.730302832,0.009374272,-21.90235214,0.010648548,-37.80812496,0.012620435,4.938081264,0.3042539656,6.155762196,0.2729438245,1.092418909072876,1.0249302387237549,1.0483078956604004,1.1335870027542114,0.9846150279045105,1.0653585195541382,5960.63330078125,5754.1337890625,4.433899879455566,4.438499927520752,-0.18459999561309814,-0.18050000071525574,2.117349147796631,0.04263955354690552,0.04037174582481384,0.058719752959483715
VLT,DY_Binary_24_Star_B,5296896205962076416,DY_Binary_24_Star_A,5296896240321814144,0.04361,0.0061,136.9980244,0.009469483,-64.03391859,0.008622146,16.60621263,0.009622258,-51.2544026,0.012873158,24.2456114,0.010590494,136.9918478,0.009669974,-64.03510261,0.008827777,16.63424307,0.00986793,-53.73876901,0.012593913,26.72827542,0.010672777,,,5.921489239,0.2432495505,0.8623455166816711,0.8126104474067688,0.8188906311988831,0.9032160043716431,0.7726104259490967,0.8526104688644409,5313.654296875,5024.0048828125,4.490200042724609,4.510200023651123,0.11180000007152557,-0.05400000140070915,1.67495596408844,0.042162686586380005,0.04000002145767212,0.05811793059629307
VLT,DY_Binary_28_Star_B,4677970179987090304,DY_Binary_28_Star_A,4677970179988001280,0.39502,0.02222,67.98571361,0.011441861,-59.87407332,0.012920865,9.65176368,0.012002392,-26.96704346,0.0153768165,-27.32456919,0.015975082,67.98291209,0.012200295,-59.87496593,0.013850142,9.664739631,0.013281932,-25.04521315,0.01714664,-25.66856227,0.016329864,11.80302238,0.4588206112,11.64334774,0.3369259536,0.972846508026123,1.0883713960647583,0.932442307472229,1.0136024951934814,1.0473568439483643,1.1289825439453125,5691.19189453125,5942.27490234375,4.423500061035156,4.422900199890137,-0.32190001010894775,-0.1687999963760376,2.0612179040908813,0.04058009386062622,0.04081284999847412,0.05755373786936156
VLT,DY_Binary_3_Star_A,3898778969789498880,DY_Binary_3_Star_B,3898778901070021504,0.01105,0.02469,181.0767764,0.01752649,7.398991143,0.013756197,8.760163109,0.019739449,-4.25963038,0.02242438,-18.26963904,0.014906488,181.0727696,0.019210378,7.405545517,0.013575857,8.746807772,0.01863164,-3.660277886,0.0286852,-18.69410364,0.014012708,-40.59447098,0.2286223024,-40.59447098,0.2286223024,1.062544822692871,1.1786023378372192,1.0225211381912231,1.1025789976119995,1.1385955810546875,1.2186094522476196,5942.58154296875,6232.90283203125,4.29640007019043,4.141900062561035,-0.4733000099658966,-0.6891999840736389,2.2411471605300903,0.040028929710388184,0.040006935596466064,0.056593905233505326
VLT,DY_Binary_33_Star_B,2919963104216198528,DY_Binary_33_Star_A,2919963104221492480,0.18097,0.00961,99.79801231,0.009796771,-26.57232285,0.012790946,20.90697359,0.01569155,-40.05413756,0.012634816,19.63609453,0.014385279,99.79825602,0.01039137,-26.57176477,0.013725116,20.88590437,0.016987285,-39.92984327,0.013182224,25.2548613,0.015262157,,,,,0.8127959966659546,0.8219091296195984,0.7724171876907349,0.8532336950302124,0.7818651795387268,0.8714398741722107,5083.34228515625,5137.583984375,4.470399856567383,4.469299793243408,-0.4207000136375427,-0.28139999508857727,1.634705126285553,0.04040825366973877,0.04478734731674194,0.060321915124674455
VLT,DY_Binary_34_Star_B,4940794866807373952,DY_Binary_34_Star_A,4940794488850252928,0.35744,0.00618,28.11510005,0.010269353,-49.52397526,0.011118548,8.604540469,0.012918454,31.37716352,0.012340118,-47.56029523,0.012646646,28.10670233,0.009887902,-49.53443156,0.011241851,8.597912153,0.012767035,32.43403,0.011714924,-48.12463982,0.012684239,22.730793,0.1449448615,,,1.176542043685913,1.145897626876831,1.136536955833435,1.2165473699569702,1.1058937311172485,1.1859028339385986,6151.03955078125,6123.2275390625,4.214799880981445,4.188199996948242,-0.27219998836517334,-0.2948000133037567,2.322439670562744,0.04000520706176758,0.04000455141067505,0.05657544277886158
VLT,DY_Binary_35_Star_A,4648549830108994816,DY_Binary_35_Star_B,4648549830108995200,-0.27304,0.02108,85.66394891,0.010781663,-74.85732534,0.010217982,7.462039088,0.010682083,28.16280018,0.012801218,69.08996003,0.013487023,85.66437239,0.010348537,-74.85853497,0.009838911,7.485169231,0.010270321,29.56305459,0.012361982,68.71170295,0.012797967,23.2577095,0.2720932961,23.28262138,0.2979565263,1.1479218006134033,1.1648839712142944,1.107918381690979,1.1879265308380127,1.1248797178268433,1.204888939857483,6150.53662109375,6154.9951171875,4.181000232696533,4.226500034332275,-0.4717000126838684,-0.4361000061035156,2.3128057718276978,0.040004074573516846,0.040004611015319824,0.056574684134960446
VLT,DY_Binary_37_Star_A,3002531548383047296,DY_Binary_37_Star_B,3002343871195786496,-0.20705,0.00982,99.63939008,0.011599081,-9.760917103,0.011329599,23.78379788,0.014497376,-163.5813595,0.013744319,95.35835458,0.013884919,99.64493286,0.011006233,-9.77058062,0.011250158,23.79633722,0.01413182,-162.7099552,0.013596878,96.65617538,0.013584382,24.31894493,0.192169264,24.64488983,0.2125828266,,,,,,,5009.89501953125,4801.84814453125,4.581600189208984,4.583600044250488,-0.4756999909877777,-0.5964000225067139,,,,
